epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.05037,0.49230,0.00566,0.72952
002,0.00342,0.82696,0.00278,0.90402
003,0.00158,0.91244,0.00227,0.92405
004,0.00106,0.93914,0.00218,0.92511
005,0.00081,0.95374,0.00207,0.96976
006,0.00065,0.96228,0.00228,0.96638
007,0.00057,0.96783,0.00256,0.98017
008,0.00048,0.97155,0.00284,0.97618
009,0.00044,0.97383,0.00349,0.98582
010,0.00034,0.97979,0.00373,0.98552
011,0.00033,0.98086,0.00233,0.97840
012,0.00031,0.98165,0.00258,0.98521
013,0.00025,0.98493,0.00288,0.98809
014,0.00027,0.98416,0.00265,0.98624
015,0.00022,0.98638,0.00303,0.98587
016,0.00021,0.98774,0.00415,0.98979
017,0.00019,0.98829,0.00252,0.98512
018,0.00018,0.98906,0.00371,0.99163
019,0.00019,0.98884,0.00340,0.98839
020,0.00020,0.98821,0.00270,0.99156
021,0.00016,0.99059,0.00257,0.99031
022,0.00013,0.99178,0.00349,0.99082
023,0.00014,0.99137,0.00408,0.99228
024,0.00013,0.99181,0.00398,0.99245
025,0.00014,0.99154,0.00370,0.99413
026,0.00012,0.99246,0.00385,0.99319
027,0.00012,0.99296,0.00289,0.99186
028,0.00011,0.99327,0.00297,0.99265
029,0.00011,0.99318,0.00424,0.99413
030,0.00012,0.99256,0.00352,0.99333
