epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.02273,0.60385,0.00300,0.81642
002,0.00236,0.88159,0.00146,0.93805
003,0.00118,0.93662,0.00090,0.95331
004,0.00085,0.95582,0.00073,0.97052
005,0.00061,0.96647,0.00073,0.97515
006,0.00047,0.97317,0.00053,0.98343
007,0.00040,0.97722,0.00105,0.98358
008,0.00033,0.98033,0.00075,0.98086
009,0.00031,0.98232,0.00067,0.98467
010,0.00027,0.98465,0.00063,0.98569
011,0.00023,0.98646,0.00080,0.98293
012,0.00022,0.98726,0.00059,0.98278
013,0.00020,0.98826,0.00069,0.98558
014,0.00018,0.98943,0.00074,0.99179
015,0.00019,0.98940,0.00131,0.99217
016,0.00016,0.99075,0.00124,0.98189
017,0.00014,0.99159,0.00203,0.99386
018,0.00015,0.99162,0.00139,0.99344
019,0.00014,0.99215,0.00121,0.99279
020,0.00012,0.99314,0.00106,0.99422
021,0.00012,0.99295,0.00115,0.99288
022,0.00011,0.99336,0.00119,0.99374
023,0.00012,0.99337,0.00084,0.99115
024,0.00012,0.99327,0.00089,0.99409
025,0.00011,0.99367,0.00292,0.99482
026,0.00011,0.99376,0.00053,0.96506
027,0.00011,0.99378,0.00192,0.99438
028,0.00009,0.99457,0.00259,0.99438
029,0.00009,0.99480,0.00135,0.99486
030,0.00009,0.99480,0.00171,0.99471
