epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.05932,0.01814,0.43720,0.03303
001,0.05934,0.01798,0.43780,0.03285
001,0.05929,0.01800,0.43752,0.03303
001,0.05930,0.01823,0.43613,0.03314
002,0.03697,0.04539,0.28174,0.06199
002,0.03695,0.04532,0.27891,0.06113
002,0.03690,0.04553,0.28111,0.06206
002,0.03690,0.04550,0.28121,0.06181
003,0.02697,0.06481,0.21785,0.07727
003,0.02702,0.06436,0.21832,0.07620
003,0.02682,0.06489,0.21741,0.07609
003,0.02691,0.06443,0.21999,0.07584
004,0.02215,0.07033,0.18437,0.08123
004,0.02214,0.07051,0.18485,0.08103
004,0.02216,0.07072,0.18413,0.08060
004,0.02204,0.06997,0.18479,0.08185
005,0.01975,0.07462,0.16942,0.08557
005,0.01972,0.07446,0.16949,0.08444
005,0.01968,0.07474,0.16832,0.08518
005,0.01968,0.07480,0.17165,0.08451
006,0.01808,0.07693,0.15764,0.08709
006,0.01806,0.07733,0.15572,0.08771
006,0.01802,0.07698,0.15639,0.08786
006,0.01818,0.07655,0.15509,0.08839
007,0.01685,0.07930,0.14857,0.09354
007,0.01686,0.07911,0.14851,0.09396
007,0.01689,0.07885,0.14892,0.09398
007,0.01679,0.07888,0.14636,0.09375
008,0.01593,0.07994,0.14208,0.09021
008,0.01623,0.07955,0.14200,0.09075
008,0.01606,0.07954,0.14096,0.09144
008,0.01618,0.07965,0.14367,0.09132
009,0.01564,0.08118,0.13600,0.09418
009,0.01549,0.08141,0.13747,0.09345
009,0.01548,0.08134,0.13685,0.09386
009,0.01552,0.08187,0.13732,0.09433
010,0.01509,0.08208,0.13463,0.10009
010,0.01512,0.08211,0.13497,0.09869
010,0.01503,0.08350,0.13522,0.09870
010,0.01499,0.08321,0.13456,0.10050
011,0.01459,0.08334,0.12964,0.09994
011,0.01462,0.08339,0.12975,0.09968
011,0.01456,0.08377,0.12765,0.09977
011,0.01450,0.08342,0.12926,0.10067
012,0.01402,0.08415,0.12545,0.10097
012,0.01410,0.08379,0.12614,0.10163
012,0.01416,0.08331,0.12377,0.10359
012,0.01405,0.08339,0.12544,0.10134
013,0.01367,0.08425,0.12284,0.09796
013,0.01387,0.08413,0.12242,0.09849
013,0.01377,0.08524,0.12177,0.09857
013,0.01371,0.08481,0.12102,0.09788
014,0.01357,0.08483,0.12041,0.09842
014,0.01349,0.08526,0.11972,0.09876
014,0.01345,0.08575,0.11998,0.09768
014,0.01351,0.08507,0.12078,0.09760
015,0.01336,0.08580,0.11774,0.09928
015,0.01331,0.08636,0.11831,0.09826
015,0.01324,0.08626,0.11769,0.09890
015,0.01330,0.08609,0.11886,0.09915
016,0.01320,0.08657,0.11597,0.09919
016,0.01312,0.08680,0.11652,0.09800
016,0.01320,0.08658,0.11684,0.09938
016,0.01321,0.08633,0.11698,0.09832
017,0.01304,0.08680,0.11670,0.10270
017,0.01309,0.08706,0.11728,0.10328
017,0.01295,0.08755,0.11695,0.10347
