epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.00059,0.72105,0.00322,0.79422
001,0.00059,0.71959,0.00296,0.79688
001,0.00058,0.72248,0.00313,0.79576
001,0.00057,0.72409,0.00298,0.79437
002,0.00050,0.75305,0.00288,0.79210
002,0.00050,0.75372,0.00309,0.79261
002,0.00049,0.75624,0.00285,0.79401
002,0.00051,0.75442,0.00292,0.79338
003,0.00046,0.76349,0.00213,0.84497
003,0.00047,0.76511,0.00213,0.84067
003,0.00046,0.76532,0.00227,0.84338
003,0.00045,0.76432,0.00208,0.84778
004,0.00039,0.79022,0.00297,0.78098
004,0.00039,0.79175,0.00304,0.78042
004,0.00039,0.79109,0.00293,0.77719
004,0.00041,0.78883,0.00303,0.77776
005,0.00034,0.81577,0.00171,0.91118
005,0.00035,0.81495,0.00184,0.91201
005,0.00033,0.81588,0.00213,0.91197
005,0.00035,0.81614,0.00176,0.91286
006,0.00033,0.82009,0.00160,0.88708
006,0.00033,0.81846,0.00157,0.88420
006,0.00033,0.81772,0.00172,0.88515
006,0.00033,0.82088,0.00173,0.88167
007,0.00036,0.80315,0.00272,0.82116
007,0.00037,0.80281,0.00265,0.82029
007,0.00040,0.80469,0.00259,0.81781
007,0.00039,0.80417,0.00263,0.81663
008,0.00030,0.83165,0.00157,0.89960
008,0.00031,0.83120,0.00189,0.89890
008,0.00031,0.82833,0.00169,0.89846
008,0.00031,0.83142,0.00154,0.90165
009,0.00031,0.82855,0.00153,0.89217
009,0.00031,0.82917,0.00162,0.89039
009,0.00031,0.82958,0.00154,0.88958
009,0.00032,0.82634,0.00155,0.89229
010,0.00026,0.85480,0.00156,0.90076
010,0.00025,0.85336,0.00157,0.89947
010,0.00025,0.85471,0.00160,0.89937
010,0.00026,0.85349,0.00147,0.89657
011,0.00025,0.85973,0.00136,0.90835
011,0.00025,0.85933,0.00141,0.90814
011,0.00024,0.86030,0.00120,0.91055
011,0.00025,0.86045,0.00136,0.90877
