epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.00014,0.91651,0.00095,0.93785
001,0.00014,0.91281,0.00087,0.93990
001,0.00014,0.91624,0.00085,0.93649
001,0.00014,0.91526,0.00085,0.93671
002,0.00011,0.93197,0.00083,0.95012
002,0.00010,0.93304,0.00079,0.94584
002,0.00011,0.93207,0.00079,0.94887
002,0.00011,0.93225,0.00085,0.94907
003,0.00009,0.94308,0.00065,0.95543
003,0.00010,0.94179,0.00073,0.95467
003,0.00009,0.94132,0.00065,0.95705
003,0.00009,0.94235,0.00069,0.95661
004,0.00008,0.94434,0.00074,0.95393
004,0.00008,0.94530,0.00060,0.95371
004,0.00009,0.94509,0.00072,0.95257
004,0.00009,0.94562,0.00067,0.95049
005,0.00008,0.94519,0.00066,0.95695
005,0.00008,0.94583,0.00074,0.95765
005,0.00008,0.94562,0.00065,0.95894
005,0.00008,0.94802,0.00062,0.96069
006,0.00007,0.95170,0.00076,0.94741
006,0.00008,0.95160,0.00078,0.94807
006,0.00007,0.95094,0.00063,0.94861
006,0.00008,0.95162,0.00063,0.94729
007,0.00007,0.95172,0.00063,0.95700
007,0.00009,0.95060,0.00077,0.95534
007,0.00008,0.95033,0.00082,0.95798
007,0.00007,0.95178,0.00064,0.95483
008,0.00007,0.95410,0.00061,0.95750
008,0.00007,0.95454,0.00052,0.95771
008,0.00007,0.95517,0.00072,0.95568
008,0.00007,0.95340,0.00069,0.95610
009,0.00008,0.95353,0.00056,0.95504
009,0.00007,0.95475,0.00061,0.95215
009,0.00007,0.95380,0.00059,0.95444
009,0.00007,0.95389,0.00066,0.95397
010,0.00006,0.95608,0.00064,0.96219
010,0.00007,0.95650,0.00048,0.96167
010,0.00007,0.95722,0.00056,0.96264
010,0.00007,0.95665,0.00062,0.96146
011,0.00007,0.95445,0.00062,0.96299
011,0.00009,0.95134,0.00053,0.96192
011,0.00006,0.95362,0.00052,0.96108
011,0.00007,0.95333,0.00069,0.96262
012,0.00006,0.95991,0.00058,0.96298
012,0.00006,0.96044,0.00054,0.96006
012,0.00006,0.95958,0.00054,0.96262
012,0.00006,0.95970,0.00056,0.96181
013,0.00006,0.96055,0.00062,0.96485
013,0.00006,0.95942,0.00050,0.96362
013,0.00006,0.96001,0.00079,0.96308
013,0.00006,0.96033,0.00076,0.96350
014,0.00005,0.96233,0.00072,0.96808
014,0.00005,0.96201,0.00052,0.96875
014,0.00005,0.96335,0.00057,0.96936
014,0.00006,0.96255,0.00059,0.96798
015,0.00005,0.96278,0.00050,0.96485
015,0.00005,0.96272,0.00055,0.96523
015,0.00005,0.96236,0.00049,0.96502
015,0.00006,0.96257,0.00051,0.96407
016,0.00006,0.95990,0.00050,0.96585
016,0.00006,0.96096,0.00044,0.96788
016,0.00006,0.96121,0.00071,0.96665
016,0.00006,0.96061,0.00051,0.96795
017,0.00006,0.96135,0.00063,0.96385
017,0.00006,0.96072,0.00051,0.96340
017,0.00006,0.95968,0.00059,0.96626
017,0.00006,0.96103,0.00058,0.96282
018,0.00006,0.96389,0.00064,0.96943
018,0.00005,0.96294,0.00062,0.96826
018,0.00005,0.96247,0.00078,0.96903
018,0.00005,0.96362,0.00068,0.96994
019,0.00005,0.96410,0.00068,0.96984
019,0.00006,0.96394,0.00055,0.96979
019,0.00006,0.96401,0.00046,0.97048
019,0.00005,0.96412,0.00061,0.97037
020,0.00005,0.96531,0.00064,0.96820
020,0.00005,0.96537,0.00073,0.96861
020,0.00005,0.96669,0.00066,0.96836
020,0.00005,0.96489,0.00056,0.96835
021,0.00005,0.96582,0.00042,0.97010
021,0.00005,0.96530,0.00047,0.97023
021,0.00005,0.96657,0.00052,0.97112
021,0.00005,0.96585,0.00052,0.96999
022,0.00005,0.96520,0.00055,0.95825
022,0.00005,0.96583,0.00055,0.96208
022,0.00005,0.96580,0.00054,0.96143
022,0.00005,0.96620,0.00059,0.96018
023,0.00005,0.96740,0.00068,0.96850
023,0.00005,0.96834,0.00054,0.96972
023,0.00005,0.96779,0.00051,0.96805
023,0.00005,0.96727,0.00061,0.96917
024,0.00005,0.96503,0.00078,0.97181
024,0.00005,0.96554,0.00054,0.97137
024,0.00005,0.96620,0.00071,0.97054
024,0.00005,0.96604,0.00058,0.97066
025,0.00005,0.96669,0.00039,0.96824
025,0.00005,0.96567,0.00066,0.96776
025,0.00005,0.96723,0.00052,0.96754
025,0.00005,0.96723,0.00044,0.96662
026,0.00005,0.96349,0.00052,0.96907
026,0.00005,0.96396,0.00051,0.96940
026,0.00005,0.96408,0.00054,0.96876
026,0.00005,0.96388,0.00052,0.97059
027,0.00005,0.96804,0.00060,0.97352
027,0.00005,0.96912,0.00056,0.97321
027,0.00005,0.96919,0.00074,0.97321
027,0.00005,0.96950,0.00061,0.97414
028,0.00005,0.96663,0.00045,0.97574
028,0.00005,0.96837,0.00051,0.97531
028,0.00005,0.96652,0.00042,0.97352
028,0.00005,0.96733,0.00044,0.97311
029,0.00005,0.96767,0.00079,0.97407
029,0.00005,0.96729,0.00057,0.97424
029,0.00005,0.96743,0.00046,0.97516
029,0.00004,0.96874,0.00043,0.97507
030,0.00005,0.96899,0.00050,0.96906
030,0.00005,0.96984,0.00054,0.96950
030,0.00004,0.96931,0.00053,0.97122
030,0.00004,0.97000,0.00049,0.97054
031,0.00005,0.96729,0.00067,0.97504
031,0.00005,0.96939,0.00071,0.97471
031,0.00005,0.96849,0.00044,0.97546
031,0.00005,0.96842,0.00044,0.97604
032,0.00004,0.96993,0.00044,0.96660
032,0.00005,0.96971,0.00047,0.96699
032,0.00004,0.97047,0.00046,0.96641
032,0.00004,0.97047,0.00045,0.96504
033,0.00005,0.96921,0.00041,0.97431
033,0.00005,0.96914,0.00050,0.97488
033,0.00004,0.97010,0.00061,0.97499
033,0.00004,0.96903,0.00065,0.97120
034,0.00004,0.97071,0.00053,0.97155
034,0.00004,0.97113,0.00034,0.97330
034,0.00004,0.97026,0.00039,0.97308
034,0.00004,0.97088,0.00069,0.97135
035,0.00005,0.97002,0.00047,0.97195
035,0.00004,0.96966,0.00053,0.97377
035,0.00004,0.96980,0.00047,0.97370
035,0.00004,0.96840,0.00046,0.97138
036,0.00005,0.96905,0.00053,0.96851
036,0.00005,0.96889,0.00047,0.97002
036,0.00004,0.96862,0.00038,0.96984
036,0.00005,0.96901,0.00037,0.96819
037,0.00004,0.96881,0.00062,0.97468
037,0.00005,0.96929,0.00053,0.97641
037,0.00004,0.96956,0.00071,0.97416
037,0.00005,0.96848,0.00060,0.97415
038,0.00004,0.97157,0.00049,0.97361
038,0.00004,0.97057,0.00065,0.97209
038,0.00004,0.97059,0.00046,0.97457
038,0.00005,0.97016,0.00039,0.97207
039,0.00004,0.97212,0.00048,0.97864
039,0.00004,0.97153,0.00058,0.97755
039,0.00004,0.97202,0.00049,0.97837
039,0.00004,0.97211,0.00050,0.97829
040,0.00004,0.97214,0.00056,0.97479
040,0.00004,0.97181,0.00051,0.97192
040,0.00004,0.97079,0.00046,0.97356
040,0.00004,0.97090,0.00043,0.97467
